plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1900,53262,314,1.558159E-5,7.814549E-6,0,STAR,1237663478724821230,NONLEGACY,4192,301,3,222,238,18.244888,16.708548,16.108244,15.948963,15.838272,18.292318,16.775045,16.180639,15.979661,15.896864
377,52145,116,0.054722,1.442548E-5,0,GALAXY,1237663478724821292,GALAXY,4192,301,3,222,300,15.670515,14.537044,14.301792,14.135084,14.133159,15.689888,14.551135,14.381746,14.178151,14.184737
377,52145,111,0.085662,1.220648E-5,0,GALAXY,1237663478724821391,GALAXY,4192,301,3,222,399,21.225977,19.702379,19.058401,18.727983,18.321192,19.291267,18.126637,17.454771,17.096416,16.83758
378,52146,318,0.106042,1.163562E-5,0,GALAXY,1237663478724821437,QSO,4192,301,3,222,445,21.076942,19.782566,19.281919,18.969622,18.587984,19.19566,18.119442,17.588249,17.246317,17.043867
377,52145,114,0.056728,1.49552E-5,0,GALAXY,1237663478724886559,QSO,4192,301,3,223,31,18.720444,18.423584,18.293955,18.038597,17.825481,17.207029,16.13076,15.599379,15.174512,14.933194
674,52201,80,-1.409592E-3,3.491637E-5,0,STAR,1237663478724886702,NONLEGACY,4192,301,3,223,174,20.042408,18.968136,18.651733,18.522772,18.477856,20.166315,19.019897,18.673479,18.573874,18.491446
377,52145,115,0.056927,3.087126E-5,0,GALAXY,1237663478724886714,GALAXY,4192,301,3,223,186,21.160313,19.351336,18.57752,18.251505,17.829002,19.531229,17.958431,17.059675,16.64633,16.276415
378,52146,313,0.087353,2.544151E-5,0,GALAXY,1237663478724886720,GALAXY,4192,301,3,223,192,20.891743,19.19014,18.42873,18.059223,17.649178,19.554396,17.920986,17.072325,16.653862,16.371971
377,52145,74,0.056383,2.543341E-5,0,GALAXY,1237663478724886775,GALAXY,4192,301,3,223,247,21.965168,19.773661,18.954449,18.485613,17.905493,19.391138,17.491827,16.585768,16.087566,15.758015
377,52145,541,0.058771,1.644358E-5,0,GALAXY,1237663479261561013,GALAXY,4192,301,4,220,181,20.685061,18.771301,17.945398,17.530891,17.162321,19.526825,17.814407,16.897629,16.460472,16.136589
377,52145,546,0.060392,1.731494E-5,0,GALAXY,1237663479261561028,GALAXY,4192,301,4,220,196,20.596243,18.734304,17.897594,17.48444,17.106268,19.712564,17.859484,16.921682,16.483086,16.14394
377,52145,542,0.059663,1.385579E-5,0,GALAXY,1237663479261561099,GALAXY,4192,301,4,220,267,20.56608,19.336411,18.795141,18.403097,18.001213,17.410027,16.328075,15.712387,15.349545,15.143681
1900,53262,312,-3.235466E-4,1.024222E-5,0,STAR,1237663479261626389,NONLEGACY,4192,301,4,221,21,19.18973,17.340809,16.510267,16.156446,15.932517,19.274836,17.392521,16.577446,16.225794,16.02556
1900,53262,354,-1.675218E-4,1.260459E-5,0,STAR,1237663479261626452,NONLEGACY,4192,301,4,221,84,18.844301,17.364054,16.684175,16.369648,16.195267,18.932899,17.403532,16.731554,16.431555,16.271385
1037,52878,506,0.075952,6.467876E-6,0,GALAXY,1237663479261626516,NONLEGACY,4192,301,4,221,148,21.941229,20.608776,20.351128,20.079348,19.759754,19.978184,18.325764,17.88187,17.653252,17.620476
1037,52878,488,0.391988,1.303972E-4,0,GALAXY,1237663479261626763,NONLEGACY,4192,301,4,221,395,24.051497,22.478926,20.809044,20.067366,19.458164,20.863926,20.591116,19.025082,18.36157,17.878916
1900,53262,383,-5.4253E-4,1.022496E-5,0,STAR,1237663479261757636,NONLEGACY,4192,301,4,223,196,18.960587,17.445986,16.798637,16.535845,16.400307,18.976091,17.496149,16.871471,16.61006,16.466402
378,52146,358,0.181516,4.226494E-5,0,GALAXY,1237663479261757703,GALAXY,4192,301,4,223,263,21.905077,20.109249,18.932432,18.441874,17.979645,20.314684,18.985878,17.648392,17.162853,16.87405
1901,53261,426,1.640257E-4,8.822367E-6,0,STAR,1237663479261757717,NONLEGACY,4192,301,4,223,277,21.141012,19.122517,18.275131,17.960903,17.801676,21.216803,19.187963,18.339924,18.027489,17.835047
378,52146,351,0.182533,3.52508E-5,0,GALAXY,1237663479261757726,GALAXY,4192,301,4,223,286,22.047651,20.276928,19.017277,18.554213,18.069302,20.319574,18.927118,17.708807,17.16556,16.831795
1900,53262,397,-1.371146E-4,1.022015E-5,0,STAR,1237663479261757731,NONLEGACY,4192,301,4,223,291,19.694775,18.124573,17.48959,17.290426,17.157986,19.785927,18.177366,17.551912,17.347731,17.229589
1900,53262,392,-2.048258E-4,8.926817E-6,0,STAR,1237663479261823004,NONLEGACY,4192,301,4,224,28,18.621918,17.14036,16.561743,16.343657,16.224087,18.662184,17.183559,16.609888,16.401728,16.313793
675,52590,360,-1.006768E-3,3.267424E-5,0,STAR,1237663479261823162,NONLEGACY,4192,301,4,224,186,19.788559,18.781258,18.432854,18.25848,18.194914,19.758324,18.766697,18.376244,18.221846,18.178637
1901,53261,271,-2.165536E-4,3.236501E-5,0,STAR,1237663479261823334,NONLEGACY,4192,301,4,224,358,21.725409,20.381189,19.669161,19.385391,19.168131,21.771986,20.412142,19.727879,19.489241,19.25318
1101,52621,154,2.600176E-4,1.281684E-4,0,STAR,1237663543150248021,NONLEGACY,4207,301,3,236,85,19.296894,18.827427,18.680328,18.59845,18.755079,19.351164,18.897207,18.74893,18.664291,18.839239
377,52145,543,0.090753,1.397856E-5,0,GALAXY,1237663543150248059,GALAXY,4207,301,3,236,123,21.393635,19.810173,19.214632,18.76651,18.335768,19.592611,18.470633,17.657455,17.235992,16.84894
1101,52621,519,-8.433448E-5,1.728242E-5,0,STAR,1237663543150248122,NONLEGACY,4207,301,3,236,186,19.972967,18.424448,17.797686,17.526789,17.341257,20.038361,18.483374,17.855623,17.579544,17.436426
1037,52878,490,0.116645,1.95894E-5,0,GALAXY,1237663543150248135,NONLEGACY,4207,301,3,236,199,21.619787,19.871962,19.054705,18.597115,18.139935,20.513184,18.998934,18.024494,17.580748,17.222002
1900,53262,316,-2.100248E-4,7.610338E-6,0,STAR,1237663543150248144,NONLEGACY,4207,301,3,236,208,19.335972,17.002996,15.925283,15.474093,15.223564,19.385471,17.072927,15.9792,15.550954,15.320807
674,52201,115,0.218961,1.838055E-5,0,GALAXY,1237663543150248280,NONLEGACY,4207,301,3,236,344,21.99762,21.187628,20.704834,20.40414,20.023045,21.224392,20.599369,19.692425,19.348642,19.454058
1101,52621,152,0.316346,1.14237E-4,0,QSO,1237663543150248295,NONLEGACY,4207,301,3,236,359,21.826103,21.54496,20.700756,20.232462,19.652416,21.47946,21.296677,20.075241,19.766876,19.237139
1101,52621,518,1.492248E-4,3.513156E-5,0,STAR,1237663543150248495,NONLEGACY,4207,301,3,236,559,24.824594,21.791275,20.271843,18.898777,18.087992,24.670506,21.894173,20.308781,18.967957,18.193775
674,52201,117,0.404772,1.937726E-4,0,GALAXY,1237663543150248561,NONLEGACY,4207,301,3,236,625,23.238691,22.331347,20.597977,19.90572,19.406839,22.165493,21.591843,19.797354,19.126156,18.657106
1901,53261,301,-5.415554E-4,1.445975E-5,0,STAR,1237663543150313511,NONLEGACY,4207,301,3,237,39,19.321087,18.392363,18.042311,17.900867,17.856565,19.307701,18.460709,18.095953,17.971453,17.921415
1037,52878,518,0.190398,1.498009E-5,0,GALAXY,1237663543150379433,NONLEGACY,4207,301,3,238,425,22.444332,21.304272,20.968269,20.565401,20.012106,20.17835,19.330463,18.747576,18.431011,18.536842
1900,53262,262,-3.46868E-5,7.877167E-6,0,STAR,1237663543150444690,NONLEGACY,4207,301,3,239,146,19.18615,16.667873,15.641273,15.310184,15.129233,19.226139,16.742615,15.708123,15.375187,15.210835
1901,53261,277,-8.237734E-5,8.569242E-6,0,STAR,1237663543150444757,NONLEGACY,4207,301,3,239,213,18.169775,16.945993,16.483492,16.292028,16.195787,18.229353,17.013689,16.531132,16.357172,16.288408
1901,53261,268,7.748585E-5,8.913325E-6,0,STAR,1237663543150444780,NONLEGACY,4207,301,3,239,236,21.229855,19.147009,18.271652,17.952257,17.760967,21.419655,19.243139,18.317059,17.999212,17.898041
1901,53261,279,-5.982458E-4,9.264203E-5,0,STAR,1237663543150444863,NONLEGACY,4207,301,3,239,319,21.288586,19.957365,20.041029,20.153246,20.227774,21.30504,20.069998,20.130325,20.214279,20.287962
1037,52878,559,0.071797,7.774647E-6,0,GALAXY,1237663543150444894,NONLEGACY,4207,301,3,239,350,21.518936,20.165197,19.933117,19.593613,19.136915,20.224148,19.263617,18.673195,18.290937,18.008314
1101,52621,117,1.967126E-4,4.890104E-5,0,STAR,1237663543150444967,NONLEGACY,4207,301,3,239,423,23.742188,21.142044,19.752672,18.773487,18.193529,22.933218,21.225296,19.800396,18.803198,18.255383
1101,52621,114,1.860765,1.242583E-3,0,QSO,1237663543150444993,NONLEGACY,4207,301,3,239,449,20.847277,20.405798,20.064079,19.712761,19.654255,20.834286,20.459976,20.151632,19.738337,19.52935
1101,52621,118,0.345088,6.399458E-5,0,GALAXY,1237663543150445031,NONLEGACY,4207,301,3,239,487,21.359949,20.729546,19.831457,19.419161,18.88442,20.967869,20.542728,19.425793,19.001913,18.44924
675,52590,263,0.362447,8.399459E-5,0,GALAXY,1237663543150445272,NONLEGACY,4207,301,3,239,728,24.941599,22.252005,20.688124,19.957127,19.369246,21.839806,21.011147,19.296646,18.551302,18.110773
378,52146,315,0.437825,1.373454E-4,0,GALAXY,1237663543150445353,GALAXY,4207,301,3,239,809,23.545561,22.337543,20.57794,19.859236,19.225685,23.183352,21.45838,19.498543,18.663507,18.090851
1900,53262,270,9.227922E-6,9.166549E-6,0,STAR,1237663543150510225,NONLEGACY,4207,301,3,240,145,20.106121,18.150846,17.341141,17.00956,16.801544,20.194061,18.230524,17.394751,17.07515,16.911654
1037,52878,520,0.161487,8.331939E-6,0,GALAXY,1237663543687184575,NONLEGACY,4207,301,4,237,191,21.454807,20.293465,19.828827,19.579489,19.316839,20.813551,18.976011,18.29962,17.930773,17.877321
377,52145,547,0.160601,3.952477E-5,0,GALAXY,1237663543687184592,GALAXY,4207,301,4,237,208,22.032656,20.010515,18.988283,18.520931,18.068954,20.95146,18.870842,17.74613,17.242989,16.921995
1101,52621,553,-2.135928E-5,8.297924E-6,0,STAR,1237663543687184619,NONLEGACY,4207,301,4,237,235,19.764441,17.400749,16.481691,16.023693,15.793753,19.770998,17.499846,16.516951,16.084194,15.849461
1901,53261,392,-7.937714E-5,3.04435E-5,0,STAR,1237663543687250168,NONLEGACY,4207,301,4,238,248,21.615999,20.254442,19.635345,19.413893,19.258629,21.72905,20.359594,19.75494,19.52165,19.529009
1101,52621,593,-8.089104E-5,2.844591E-5,0,STAR,1237663543687250209,NONLEGACY,4207,301,4,238,289,23.130123,21.046837,19.470413,18.169563,17.49173,24.429518,21.048849,19.546635,18.260118,17.536581
1901,53261,393,-1.290379E-4,1.583856E-5,0,STAR,1237663543687250211,NONLEGACY,4207,301,4,238,291,22.620966,20.174768,18.990185,18.511078,18.251595,22.390993,20.251902,19.054932,18.615669,18.341589
1901,53261,397,0.863735,2.61858E-4,0,QSO,1237663543687250265,NONLEGACY,4207,301,4,238,345,21.932808,21.090281,21.125536,21.211456,20.716307,21.671307,21.164333,21.026243,21.507223,20.349964
675,52590,357,0.352781,1.159379E-4,0,GALAXY,1237663543687250344,NONLEGACY,4207,301,4,238,424,23.895216,21.879572,20.263643,19.619772,19.067724,26.012873,21.224766,19.276031,18.730917,18.166826
1900,53262,393,-1.704399E-4,1.012346E-5,0,STAR,1237663543687315468,NONLEGACY,4207,301,4,239,12,19.220972,17.814638,17.208961,16.993696,16.901588,19.282747,17.868412,17.273832,17.052891,16.981951
674,52201,592,1.62017,8.272784E-4,0,QSO,1237663543687315593,NONLEGACY,4207,301,4,239,137,20.158533,19.833246,19.653816,19.388786,19.420288,20.16255,19.898848,19.714914,19.485086,19.7498
1900,53262,391,-2.136484E-4,1.104148E-5,0,STAR,1237663543687315656,NONLEGACY,4207,301,4,239,200,19.682468,18.209909,17.645872,17.407318,17.313034,19.748648,18.286978,17.698423,17.486673,17.37466
378,52146,355,0.160837,5.87588E-5,0,GALAXY,1237663543687315744,GALAXY,4207,301,4,239,288,22.544508,20.474087,19.491745,18.980791,18.514481,21.19758,19.00915,17.757587,17.252172,16.931448
